,name,lable
0,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_9_surgical.png,1.0
1,imgs_masked/3414_18_Concerts_Concerts_18_1032_6_surgical.png,1.0
2,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_9_surgical.png,1.0
3,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_6_surgical.png,1.0
4,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_2_surgical.png,1.0
5,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_9_surgical.png,1.0
6,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_0_surgical.png,1.0
7,imgs_masked/3414_18_Concerts_Concerts_18_1032_2_surgical.png,1.0
8,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_4_surgical.png,1.0
9,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_5_surgical.png,1.0
10,imgs_masked/3412_36_Football_americanfootball_ball_36_257_2_surgical.png,1.0
11,imgs_masked/340_11_Meeting_Meeting_11_Meeting_Meeting_11_150_6_surgical.png,1.0
12,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_8_surgical.png,1.0
13,imgs_masked/340_11_Meeting_Meeting_11_Meeting_Meeting_11_150_0_surgical.png,1.0
14,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_0_surgical.png,1.0
15,imgs_masked/3412_36_Football_americanfootball_ball_36_257_4_surgical.png,1.0
16,imgs_masked/3409_11_Meeting_Meeting_11_Meeting_Meeting_11_529_3_surgical.png,1.0
17,imgs_masked/3409_11_Meeting_Meeting_11_Meeting_Meeting_11_529_6_surgical.png,1.0
18,imgs_masked/340_11_Meeting_Meeting_11_Meeting_Meeting_11_150_8_surgical.png,1.0
19,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_8_surgical.png,1.0
20,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_4_surgical.png,1.0
21,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_2_surgical.png,1.0
22,imgs_masked/3415_31_Waiter_Waitress_Waiter_Waitress_31_368_4_surgical.png,1.0
23,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_3_surgical.png,1.0
24,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_1_surgical.png,1.0
25,imgs_masked/3412_36_Football_americanfootball_ball_36_257_7_surgical.png,1.0
26,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_7_surgical.png,1.0
27,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_0_surgical.png,1.0
28,imgs_masked/3412_36_Football_americanfootball_ball_36_257_3_surgical.png,1.0
29,imgs_masked/3414_18_Concerts_Concerts_18_1032_0_surgical.png,1.0
30,imgs_masked/3412_36_Football_americanfootball_ball_36_257_8_surgical.png,1.0
31,imgs_masked/3415_31_Waiter_Waitress_Waiter_Waitress_31_368_2_surgical.png,1.0
32,imgs_masked/3412_36_Football_americanfootball_ball_36_257_0_surgical.png,1.0
33,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_8_surgical.png,1.0
34,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_3_surgical.png,1.0
35,imgs_masked/3414_18_Concerts_Concerts_18_1032_7_surgical.png,1.0
36,imgs_masked/3415_31_Waiter_Waitress_Waiter_Waitress_31_368_3_surgical.png,1.0
37,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_6_surgical.png,1.0
38,imgs_masked/3409_11_Meeting_Meeting_11_Meeting_Meeting_11_529_5_surgical.png,1.0
39,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_6_surgical.png,1.0
40,imgs_masked/3412_36_Football_americanfootball_ball_36_257_9_surgical.png,1.0
41,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_2_surgical.png,1.0
42,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_7_surgical.png,1.0
43,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_5_surgical.png,1.0
44,imgs_masked/3412_36_Football_americanfootball_ball_36_257_1_surgical.png,1.0
45,imgs_masked/3412_36_Football_americanfootball_ball_36_257_6_surgical.png,1.0
46,imgs_masked/3414_18_Concerts_Concerts_18_1032_4_surgical.png,1.0
47,imgs_masked/3409_11_Meeting_Meeting_11_Meeting_Meeting_11_529_0_surgical.png,1.0
48,imgs_masked/3415_31_Waiter_Waitress_Waiter_Waitress_31_368_1_surgical.png,1.0
49,imgs_masked/3413_20_Family_Group_Family_Group_20_1045_3_surgical.png,1.0
50,imgs_masked/3409_11_Meeting_Meeting_11_Meeting_Meeting_11_529_4_surgical.png,1.0
51,imgs_masked/3411_12_Group_Group_12_Group_Group_12_51_1_surgical.png,1.0
52,imgs_masked/3410_2_Demonstration_Demonstration_Or_Protest_2_771_1_surgical.png,1.0
53,imgs_masked/3412_36_Football_americanfootball_ball_36_257_5_surgical.png,1.0
54,imgs_masked/3415_31_Waiter_Waitress_Waiter_Waitress_31_368_0_surgical.png,1.0
55,imgs_masked/3419_9_Press_Conference_Press_Conference_9_302_2_surgical.png,1.0
56,imgs_masked/3418_8_Election_Campain_Election_Campaign_8_522_6_surgical.png,1.0
57,imgs_masked/3420_4_Dancing_Dancing_4_317_7_surgical.png,1.0
58,imgs_masked/341_12_Group_Group_12_Group_Group_12_29_8_surgical.png,1.0
59,imgs_masked/3419_9_Press_Conference_Press_Conference_9_302_8_surgical.png,1.0
60,imgs_masked/3417_15_Stock_Market_Stock_Market_15_395_2_surgical.png,1.0
61,imgs_masked/341_12_Group_Group_12_Group_Group_12_29_1_surgical.png,1.0
62,imgs_masked/3417_15_Stock_Market_Stock_Market_15_395_1_surgical.png,1.0
63,imgs_masked/3418_8_Election_Campain_Election_Campaign_8_522_2_surgical.png,1.0
64,imgs_masked/3418_8_Election_Campain_Election_Campaign_8_522_3_surgical.png,1.0
65,imgs_masked/3421_2_Demonstration_Political_Rally_2_864_1_surgical.png,1.0
66,imgs_masked/3419_9_Press_Conference_Press_Conference_9_302_3_surgical.png,1.0
67,imgs_masked/3420_4_Dancing_Dancing_4_317_9_surgical.png,1.0
68,imgs_masked/341_12_Group_Group_12_Group_Group_12_29_4_surgical.png,1.0
69,imgs_masked/341_12_Group_Group_12_Group_Group_12_29_0_surgical.png,1.0
70,imgs_masked/3419_9_Press_Conference_Press_Conference_9_302_7_surgical.png,1.0
71,imgs_masked/3417_15_Stock_Market_Stock_Market_15_395_9_surgical.png,1.0
72,imgs_masked/341_12_Group_Group_12_Group_Group_12_29_9_surgical.png,1.0
73,imgs_masked/3419_9_Press_Conference_Press_Conference_9_302_1_surgical.png,1.0
74,imgs_masked/3417_15_Stock_Market_Stock_Market_15_395_0_surgical.png,1.0
75,imgs_masked/3418_8_Election_Campain_Election_Campaign_8_522_4_surgical.png,1.0
76,imgs_masked/3421_2_Demonstration_Political_Rally_2_864_0_surgical.png,1.0
77,imgs_masked/3420_4_Dancing_Dancing_4_317_5_surgical.png,1.0
78,imgs_masked/3417_15_Stock_Market_Stock_Market_15_395_4_surgical.png,1.0
79,imgs_masked/3420_4_Dancing_Dancing_4_317_8_surgical.png,1.0
